source,uniqueId,igsn,hatchSpacing_mm,laserPower_W,laserVelocity_mm_s,layerThickness_mm,VED_J_per_mm3
NASA TTT,B71_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.15,240.0,2130.0,0.03,25.03912363067293
NASA TTT,B72_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.05,340.0,1890.0,0.03,119.9294532627866
NASA TTT,B73_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.09,330.0,2530.0,0.03,48.309178743961354
NASA TTT,B74_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.08,260.0,910.0,0.03,119.04761904761907
NASA TTT,B75_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.04,130.0,910.0,0.03,119.04761904761907
NASA TTT,B76_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.04,115.0,3040.0,0.03,31.52412280701754
NASA TTT,B77_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.1,210.0,1990.0,0.03,35.175879396984925
NASA TTT,B78_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.1,240.0,1480.0,0.03,54.05405405405406
NASA TTT,B79_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.18,320.0,1100.0,0.03,53.872053872053876
NASA TTT,B80_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.13,325.0,2480.0,0.03,33.60215053763441
NASA TTT,B81_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.06,315.0,1460.0,0.03,119.86301369863016
NASA TTT,B82_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.04,340.0,3070.0,0.03,92.29098805646038
NASA TTT,B83_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.14,300.0,1930.0,0.03,37.00962250185047
NASA TTT,B84_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.16,350.0,1070.0,0.03,68.14641744548287
NASA TTT,B85_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.06,325.0,3570.0,0.03,50.57578586990352
NASA TTT,B86_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.06,235.0,2000.0,0.03,65.27777777777779
NASA TTT,B87_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.06,140.0,650.0,0.03,119.65811965811966
NASA TTT,B88_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.11,365.0,1770.0,0.03,62.48929977743538
NASA TTT,B89_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.13,320.0,1360.0,0.03,60.33182503770739
NASA TTT,B90_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.18,205.0,1460.0,0.03,26.00202942668696
NASA TTT,B91_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.09,180.0,1690.0,0.03,39.447731755424066
